player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dominique Robinson,61436,ED,CHI,2,0,0,6,67.9,1,1,15,100.0,20.0,3,0,6.7,0,16,16,2,0,67.1,0,1,8,100.0,25.0,2,6.3,0,8,8,1
Daiyan Henley,61500,LB,LAC,9,0,0,27,54.8,1,4,26,9.0,0.0,0,1,13.5,1,324,29,6,0,60.9,1,3,15,11.1,0.0,0,20.0,1,153,17,5
Tariq Woolen,61790,CB,SEA,7,0,0,29,67.7,0,1,2,0.8,50.0,1,4,25.0,0,260,2,1,0,,0,0,0,0.0,,0,,0,103,0,0
Christian Elliss,61853,LB,NE,8,0,0,19,75.7,1,2,21,21.0,19.0,4,2,16.7,2,119,25,5,0,77.5,0,1,15,32.7,20.0,3,16.7,2,55,18,3
Charles Snowden,62775,ED,LV,9,1,0,23,58.5,4,6,49,56.7,8.2,4,2,14.3,2,90,51,12,0,48.5,2,3,15,47.1,6.7,1,23.3,1,34,16,6
Theo Jackson,62919,S,MIN,2,0,0,18,57.3,0,0,3,15.8,0.0,0,0,0.0,0,19,3,0,0,59.1,0,0,1,12.5,0.0,0,0.0,0,8,1,0
Matthew Butler,62931,DI,LV,4,0,0,23,59.1,0,0,31,97.1,6.5,2,1,0.0,0,35,34,0,0,64.2,0,0,10,100.0,10.0,1,0.0,0,12,12,0
Jack Cochrane,63345,LB,KC,2,0,0,16,57.1,0,0,2,40.0,0.0,0,0,0.0,0,5,2,0,0,,0,0,0,,,0,,0,0,0,0
Winston Reid,63354,LB,CLV,3,1,0,8,63.1,0,2,4,22.7,25.0,1,0,50.0,1,22,5,3,0,,0,0,0,0.0,,0,,0,3,0,0
John Ridgeway,66694,DI,NO,7,0,0,20,65.0,0,5,55,100.0,9.1,5,0,4.5,0,58,58,5,0,70.5,0,3,21,100.0,19.0,4,7.1,0,21,21,3
Zyon McCollum,66769,CB,TB,10,0,0,30,73.2,0,1,2,0.5,0.0,0,3,25.0,0,419,2,1,0,,0,0,0,0.0,,0,,0,208,0,0
Kobie Turner,66894,DI,LA,9,2,2,26,63.2,2,27,262,100.0,10.7,28,3,7.4,5,279,279,34,1,69.5,2,21,123,100.0,15.4,19,13.4,5,136,136,28
Zach Sieler,66917,DI,MIA,7,1,0,17,65.7,2,17,188,99.0,10.1,19,0,6.1,2,198,196,21,1,72.9,1,14,102,98.1,16.7,17,9.3,2,107,105,17
