player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jack Sanborn,82566,LB,CHI,9,1,0,6,81.8,2,1,11,27.9,18.2,2,0,22.7,1,43,12,4,0,69.4,2,0,4,25.0,0.0,0,50.0,1,16,4,3
Pat Surtain II,83119,CB,DEN,9,0,1,10,60.0,0,1,1,0.3,0.0,0,8,50.0,0,319,1,1,0,60.0,0,1,1,0.7,0.0,0,50.0,0,148,1,1
Jamien Sherwood,83175,LB,NYJ,10,0,0,22,69.2,0,5,28,8.8,7.1,2,1,16.1,2,329,29,7,0,58.1,0,4,16,10.6,6.3,1,18.8,1,161,17,5
Roger McCreary,83176,CB,TEN,9,0,0,31,62.9,1,0,19,7.3,10.5,2,1,7.9,1,261,19,2,0,64.0,0,0,7,6.2,14.3,1,14.3,1,113,7,1
Quan Martin,83236,S,WAS,10,0,0,32,54.2,0,0,3,1.3,0.0,0,0,0.0,0,319,4,0,0,55.4,0,0,1,1.4,0.0,0,0.0,0,139,2,0
Kerby Joseph,83239,S,DET,9,0,0,11,39.9,1,0,3,0.7,0.0,0,0,16.7,0,421,3,1,0,39.3,1,0,2,1.0,0.0,0,25.0,0,204,2,1
Kaevon Merriweather,83257,S,TB,6,0,1,30,58.4,0,0,1,2.6,0.0,0,1,0.0,0,39,1,0,0,58.4,0,0,1,4.0,0.0,0,0.0,0,25,1,0
Riley Moss,83259,CB,DEN,10,0,1,10,79.0,0,3,4,1.0,50.0,2,5,37.5,0,410,4,3,0,80.5,0,3,3,1.6,66.7,2,50.0,0,185,3,3
Percy Butler,83271,S,WAS,10,0,0,32,58.3,0,1,2,1.4,0.0,0,0,25.0,0,138,2,1,0,,0,1,0,0.0,,0,,0,62,0,1
Jordan Howden,83305,S,NO,10,0,0,20,55.0,0,1,11,4.9,9.1,1,0,4.5,0,263,13,1,0,54.4,0,0,2,2.3,0.0,0,0.0,0,128,3,0
Keidron Smith,83310,S,DEN,2,0,0,10,59.1,0,0,1,12.5,0.0,0,1,0.0,0,8,1,0,0,,0,0,0,0.0,,0,,0,2,0,0
Greg Newsome II,83341,CB,CLV,9,0,0,8,44.6,0,2,9,4.1,0.0,0,2,11.1,0,271,11,2,0,51.9,0,2,2,2.3,0.0,0,50.0,0,133,3,2
Christian Izien,83360,S,TB,9,0,0,30,57.9,0,4,17,6.0,17.6,3,1,11.8,0,299,18,4,0,67.4,0,1,5,3.2,20.0,1,10.0,0,156,5,1
Jaycee Horn,83375,CB,CAR,10,0,1,5,53.9,0,1,4,1.1,0.0,0,5,12.5,0,360,4,1,0,60.0,0,1,1,0.7,0.0,0,50.0,0,151,1,1
Israel Mukuamu,83377,CB,DAL,7,0,0,9,49.9,1,1,6,15.4,16.7,1,0,16.7,0,39,6,2,0,52.1,1,0,4,20.0,0.0,0,12.5,0,20,4,1
Kyler Gordon,83451,CB,CHI,7,0,0,6,48.0,0,6,26,13.0,11.5,3,0,15.4,1,207,27,7,0,44.0,0,4,9,8.7,11.1,1,22.2,0,104,9,4
Beanie Bishop Jr.,83459,CB,PIT,9,0,0,25,61.3,0,1,7,2.9,14.3,1,2,21.4,1,273,8,2,0,59.1,0,0,1,0.6,0.0,0,0.0,0,158,1,0
Alontae Taylor,83469,CB,NO,10,0,0,20,71.3,1,3,25,7.3,8.0,2,5,28.0,5,381,28,9,0,68.8,0,3,15,9.6,13.3,2,30.0,3,187,18,6
Myles Cole,83500,ED,JAX,3,0,0,15,50.0,0,0,19,90.5,0.0,0,1,0.0,0,21,19,0,0,53.6,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Javontae Jean-Baptiste,83514,ED,WAS,6,0,0,32,50.1,1,1,66,100.0,4.5,3,0,3.0,1,69,69,3,0,54.4,1,1,24,100.0,8.3,2,4.2,0,24,24,2
Tyler Allgeier,83639,HB,ATL,1,0,0,2,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Chris Rodriguez Jr.,83689,HB,WAS,1,0,0,32,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Amari Burney,83811,LB,LV,2,0,0,23,68.4,0,1,3,20.0,33.3,1,0,16.7,0,15,3,1,0,70.9,0,1,2,22.2,50.0,1,25.0,0,9,2,1
Jevon Holland,83873,S,MIA,7,0,0,17,55.6,0,1,13,6.5,0.0,0,0,11.5,1,199,13,2,0,61.6,0,1,6,6.0,0.0,0,25.0,1,100,6,2
Lucas Krull,83962,TE,DEN,1,0,0,10,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Josh Newton,84268,CB,CIN,7,0,0,7,54.5,0,0,2,3.4,0.0,0,1,0.0,0,59,2,0,0,54.5,0,0,2,6.3,0.0,0,0.0,0,32,2,0
Markees Watts,84537,ED,TB,3,0,0,30,60.9,0,1,7,77.8,14.3,1,0,7.1,0,9,7,1,0,63.4,0,1,5,100.0,20.0,1,10.0,0,5,5,1
Darius Muasau,86008,LB,NYG,6,0,0,21,56.3,0,0,3,8.1,0.0,0,0,0.0,0,37,3,0,0,,0,0,0,0.0,,0,,0,10,0,0
Chris Williams,87178,DI,CHI,9,0,0,6,66.9,1,4,87,98.9,9.2,8,1,5.2,2,90,89,7,0,67.0,1,3,46,100.0,8.7,4,8.7,2,47,47,6
Nate Adkins,87625,TE,DEN,1,0,0,10,60.0,0,0,1,100.0,0.0,0,1,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Khristian Boyd,88444,DI,NO,6,0,0,20,54.4,0,2,36,100.0,2.8,1,0,2.8,0,36,36,2,0,58.7,0,1,13,100.0,7.7,1,3.8,0,13,13,1
Kyle Dugger,90621,S,NE,6,1,0,19,67.7,0,2,21,10.3,9.5,2,1,9.5,1,204,21,3,1,67.4,0,2,7,7.7,0.0,0,28.6,1,91,7,3
Daniel Hardy,91336,ED,CHI,3,0,0,6,51.6,0,1,8,100.0,0.0,0,0,6.3,0,8,8,1,0,52.0,0,1,7,100.0,0.0,0,7.1,0,7,7,1
E.J. Speed,94351,LB,IND,9,1,0,14,55.0,1,6,33,9.9,6.1,2,1,10.6,0,354,35,7,0,55.2,0,4,16,11.5,12.5,2,12.5,0,157,18,4
Jonathan Harris,94361,DI,CAR,2,0,0,5,60.0,1,0,19,100.0,10.5,2,0,2.6,0,19,19,1,0,56.8,0,0,12,100.0,8.3,1,0.0,0,12,12,0
Jordan Davis,94854,DI,PHI,9,2,0,24,67.3,0,4,116,100.0,7.8,9,0,2.6,1,123,123,5,0,58.8,0,1,21,100.0,9.5,2,2.4,0,24,24,1
Mike Sainristil,97180,CB,WAS,10,0,0,32,51.8,0,0,5,1.6,0.0,0,1,0.0,0,319,5,0,0,54.1,0,0,2,1.4,0.0,0,0.0,0,142,2,0
Reddy Steward,97289,CB,CHI,1,0,0,6,65.6,0,0,1,9.1,100.0,1,0,0.0,0,11,1,0,0,65.6,0,0,1,14.3,100.0,1,0.0,0,7,1,0
Dell Pettus,97290,S,NE,7,0,0,19,64.8,0,0,4,4.3,0.0,0,1,25.0,1,116,5,1,0,58.3,0,0,1,1.9,0.0,0,0.0,0,53,1,0
Thomas Harper,97325,S,LV,5,0,0,23,58.3,0,0,1,3.7,0.0,0,0,0.0,0,27,1,0,0,,0,0,0,0.0,,0,,0,18,0,0
Cameron Mitchell,97340,CB,CLV,9,0,0,8,52.0,0,0,4,5.0,0.0,0,1,0.0,0,100,5,0,0,,0,0,0,0.0,,0,,0,46,0,0
Dadrion Taylor-Demerson,97348,S,ARZ,7,0,0,1,58.7,0,0,1,2.8,0.0,0,0,0.0,0,72,2,0,0,,0,0,0,0.0,,0,,0,34,0,0
Christian Roland-Wallace,97374,CB,KC,4,0,1,16,68.6,2,2,9,14.3,11.1,1,1,22.2,0,63,9,4,0,67.1,1,1,4,11.8,25.0,1,25.0,0,34,4,2
Jarrian Jones,97486,CB,JAX,10,0,0,15,51.9,0,0,4,1.7,0.0,0,0,0.0,0,242,4,0,0,59.0,0,0,1,0.8,0.0,0,0.0,0,133,1,0
Nick Cross,97514,S,IND,10,0,0,14,49.9,0,1,10,2.6,0.0,0,2,5.0,0,391,10,1,0,53.5,0,0,4,2.4,0.0,0,0.0,0,168,4,0
Dax Hill,97519,CB,CIN,5,0,0,7,81.8,0,0,2,1.4,0.0,0,1,50.0,1,142,2,1,0,84.4,0,0,0,0.0,,0,,1,60,0,1
Drake Thomas,97525,LB,SEA,2,0,0,29,59.1,0,0,1,4.8,0.0,0,0,0.0,0,21,1,0,0,,0,0,0,0.0,,0,,0,4,0,0
Elijah Chatman,97568,DI,NYG,10,0,0,21,60.9,1,10,111,98.3,12.6,14,0,5.9,1,116,114,12,0,60.3,1,9,75,98.7,13.3,10,8.0,1,79,78,11
Tyler Davis,97610,DI,LA,8,0,0,26,63.7,0,1,40,100.0,2.5,1,0,3.8,1,43,43,2,0,60.6,0,0,9,100.0,0.0,0,11.1,1,11,11,1
Josh Wallace,97676,CB,LA,7,0,0,26,55.6,0,0,3,4.8,0.0,0,0,0.0,0,62,3,0,0,,0,0,0,0.0,,0,,0,29,0,0
Dorian Williams,97694,LB,BUF,10,0,0,4,67.6,1,4,25,10.1,12.0,3,0,10.0,0,257,26,5,0,75.3,0,3,13,18.1,23.1,3,11.5,0,72,13,3
Ronnie Hickman Jr.,97702,S,CLV,6,0,0,8,56.4,0,0,2,1.8,0.0,0,0,0.0,0,111,2,0,0,,0,0,0,0.0,,0,,0,42,0,0
Mohamed Kamara,97731,ED,MIA,2,0,0,17,73.3,1,1,9,76.9,33.3,3,0,11.1,0,13,10,2,0,55.6,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Javon Solomon,97821,ED,BUF,6,0,0,4,90.7,2,0,29,96.8,10.3,3,0,10.3,2,31,30,4,0,91.1,1,0,18,95.0,11.1,2,13.9,2,20,19,3
Tyler Nubin,97895,S,NYG,10,0,0,21,64.1,0,1,6,2.0,16.7,1,0,8.3,0,350,7,1,0,,0,0,0,0.0,,0,,0,148,0,0
Adetomiwa Adebawore,97934,DI,IND,10,0,0,14,63.8,1,1,74,100.0,6.8,5,1,2.7,1,75,75,3,0,68.2,1,1,27,100.0,7.4,2,7.4,1,28,28,3
Levelle Bailey,97956,LB,DEN,1,0,0,10,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Derick Hall,98130,ED,SEA,9,0,0,29,69.8,7,14,205,89.5,8.3,17,2,7.6,5,237,212,26,0,78.2,3,10,91,95.1,14.3,13,9.3,2,102,97,15
Jordan Magee,98155,LB,WAS,1,0,0,32,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
DeWayne Carter,98175,DI,BUF,7,1,0,4,52.4,2,3,89,98.9,2.2,2,0,2.8,0,93,92,5,0,56.0,1,2,25,100.0,8.0,2,6.0,0,27,27,3
Colby Wooden,98312,DI,GB,5,1,0,12,65.2,1,3,56,100.0,10.7,6,0,5.4,1,58,58,5,1,71.6,0,2,20,100.0,15.0,3,10.0,1,22,22,3
Alex Wright,98318,ED,CLV,4,0,0,8,67.2,0,2,57,92.4,12.3,7,2,3.5,1,66,61,3,0,75.8,0,2,28,97.0,21.4,6,7.1,1,33,32,3
George Karlaftis,98319,ED,KC,9,2,0,16,67.0,9,17,268,95.7,10.4,28,0,6.3,4,305,292,30,1,72.5,5,12,119,95.6,14.3,17,8.8,2,135,129,19
Marshawn Kneeland,98344,ED,DAL,5,0,0,9,54.8,4,2,66,97.1,4.5,3,0,4.5,0,70,68,6,0,59.7,3,0,33,100.0,6.1,2,4.5,0,35,35,3
Kayvon Thibodeaux,98444,ED,NYG,5,0,1,21,62.3,4,10,149,98.8,14.1,21,2,6.0,2,164,162,16,0,61.6,2,8,67,98.6,17.9,12,10.4,2,73,72,12
Eric Watts,98459,ED,NYJ,7,0,0,22,46.8,0,0,36,100.0,0.0,0,0,0.0,0,38,38,0,0,49.1,0,0,15,100.0,0.0,0,0.0,0,15,15,0
Zach Harrison,98503,DI,ATL,10,0,0,2,52.8,0,4,78,100.0,2.6,2,1,2.6,0,80,80,4,0,52.1,0,2,29,100.0,0.0,0,3.4,0,30,30,2
Anfernee Orji,98568,LB,NO,5,0,0,20,48.1,0,2,8,14.5,12.5,1,0,12.5,0,55,8,2,0,48.4,0,2,6,27.3,16.7,1,16.7,0,22,6,2
Mohamoud Diabate,98780,LB,CLV,5,0,0,8,66.6,0,4,16,15.2,18.8,3,1,18.8,1,105,16,5,0,61.3,0,2,5,10.0,20.0,1,20.0,0,50,5,2
Jay Ward,98833,S,MIN,2,0,0,18,54.5,1,0,4,33.3,0.0,0,0,12.5,0,12,4,1,0,59.1,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Cor'Dale Flott,98834,CB,NYG,9,0,0,21,52.1,0,0,3,1.3,0.0,0,1,0.0,0,228,3,0,0,59.5,0,0,1,1.3,0.0,0,0.0,0,78,1,0
Cam Smith,98837,CB,MIA,3,0,0,17,60.0,0,0,1,1.3,0.0,0,2,0.0,0,78,1,0,0,,0,0,0,0.0,,0,,0,41,0,0
Jaylen McCollough,98845,S,LA,7,0,1,26,68.5,0,0,5,5.4,20.0,1,1,0.0,0,92,5,0,0,54.3,0,0,3,4.7,0.0,0,0.0,0,64,3,0
Demani Richardson,98852,S,CAR,2,0,0,5,56.0,0,1,3,3.8,33.3,1,1,16.7,0,80,3,1,0,59.2,0,0,1,3.2,0.0,0,0.0,0,31,1,0
Jordan Battle,98857,S,CIN,8,0,0,7,51.7,1,0,5,6.7,0.0,0,0,10.0,0,75,5,1,0,56.8,1,0,1,3.3,0.0,0,50.0,0,30,1,1
AJ Finley,98887,S,LAC,4,0,0,27,59.1,0,0,1,2.7,0.0,0,0,0.0,0,37,1,0,0,,0,0,0,0.0,,0,,0,21,0,0
Zacch Pickens,98911,DI,CHI,3,0,0,6,63.1,0,3,20,100.0,15.0,3,0,7.5,0,22,22,3,0,66.4,0,3,12,100.0,25.0,3,12.5,0,12,12,3
DeMarvin Leal,98919,ED,PIT,5,0,0,25,55.4,1,1,26,93.1,7.7,2,0,3.8,0,29,27,2,0,50.6,0,0,9,100.0,0.0,0,0.0,0,10,10,0
Justin Eboigbe,98925,DI,LAC,1,0,0,27,59.3,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,,0,0,0,,,0,,0,0,0,0
Travon Walker,98940,ED,JAX,10,0,0,15,63.7,4,24,299,97.6,11.0,33,4,7.0,7,334,326,35,0,63.2,2,12,140,100.0,12.1,17,6.4,2,154,154,16
Zion Logue,98944,DI,BUF,2,0,0,4,52.6,0,0,15,100.0,0.0,0,0,0.0,0,16,16,0,0,56.7,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Isaiah McGuire,98948,ED,CLV,8,0,0,8,67.7,0,11,77,94.3,16.9,13,0,8.4,1,88,83,12,0,78.3,0,7,28,93.9,32.1,9,16.1,1,33,31,8
Henry To'oTo'o,98982,LB,HST,8,0,0,13,59.3,0,6,29,12.2,10.3,3,1,10.3,0,255,31,6,0,61.0,0,4,16,16.8,18.8,3,12.5,0,107,18,4
Owen Pappoe,99006,LB,ARZ,8,0,0,1,49.1,0,3,20,26.6,10.0,2,0,7.5,0,79,21,3,0,55.0,0,3,9,18.4,22.2,2,16.7,0,49,9,3
Nolan Smith,99014,ED,PHI,9,1,0,24,69.6,0,8,89,77.6,13.5,12,0,7.9,3,125,97,11,0,69.4,0,4,30,82.1,20.0,6,10.0,1,39,32,5
Jermaine Johnson,99015,ED,NYJ,2,0,0,22,62.3,0,7,42,97.9,16.7,7,2,8.3,0,47,46,7,0,69.5,0,3,21,100.0,23.8,5,7.1,0,23,23,3
Nakobe Dean,99018,LB,PHI,9,0,0,24,71.3,3,2,38,13.3,18.4,7,1,11.8,2,316,42,7,0,71.3,2,1,17,14.6,29.4,5,14.7,1,123,18,4
Tyler Owens,99271,S,WAS,1,0,0,32,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
T'Vondre Sweat,99321,DI,TEN,9,0,0,31,54.9,0,7,170,96.3,4.1,7,1,2.1,0,189,182,7,0,62.9,0,5,58,97.0,8.6,5,4.3,0,67,65,5
Jordan Jefferson,99325,DI,JAX,5,0,0,15,63.5,0,1,28,96.9,7.1,2,1,5.4,1,32,31,2,0,59.1,0,1,12,100.0,8.3,1,4.2,0,13,13,1
Dee Winters,99376,LB,SF,7,0,0,28,51.1,0,0,7,12.5,0.0,0,0,0.0,0,56,7,0,0,59.1,0,0,1,9.1,0.0,0,0.0,0,11,1,0
Tykee Smith,99500,CB,TB,8,0,1,30,67.2,2,2,31,11.7,6.5,2,2,6.5,0,299,35,4,0,61.8,1,2,13,9.1,7.7,1,11.5,0,164,15,3
Garrett Williams,99723,CB,ARZ,9,0,0,1,66.6,0,1,5,1.6,20.0,1,1,10.0,0,311,5,1,0,71.0,0,1,3,2.1,33.3,1,16.7,0,140,3,1
Jarvis Brownlee Jr.,99734,CB,TEN,9,0,1,31,41.8,0,1,2,0.8,0.0,0,6,25.0,0,245,2,1,0,,0,0,0,0.0,,0,,0,86,0,0
SirVocea Dennis,99767,LB,TB,4,0,0,30,51.2,0,0,16,21.0,0.0,0,1,6.3,1,81,17,1,0,47.2,0,0,8,19.0,0.0,0,0.0,0,42,8,0
Ruke Orhorhoro,99768,DI,ATL,4,0,0,2,49.7,1,1,39,97.7,2.6,1,0,2.6,0,44,43,2,0,48.3,1,0,21,100.0,0.0,0,2.4,0,24,24,1
Calijah Kancey,99822,DI,TB,5,0,0,30,64.3,2,5,138,97.3,7.2,10,2,5.4,4,149,145,11,0,64.2,2,1,62,100.0,9.7,6,7.3,3,67,67,6
Laiatu Latu,100551,ED,IND,10,1,0,14,65.7,6,15,211,98.2,13.3,28,1,5.9,2,228,224,23,0,59.4,2,10,98,97.2,14.3,14,6.1,0,108,105,12
Sauce Gardner,100903,CB,NYJ,10,0,1,22,80.6,0,1,3,0.9,0.0,0,7,50.0,1,348,3,2,0,,0,0,0,0.0,,0,,0,174,0,0
Ja'Quan McMillian,100931,CB,DEN,10,0,0,10,65.0,0,5,21,5.9,4.8,1,4,16.7,1,355,21,6,0,74.0,0,5,11,6.2,9.1,1,31.8,1,177,11,6
JL Skinner,101311,S,DEN,1,0,0,10,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Deonte Banks,101384,CB,NYG,10,0,0,21,76.7,0,0,2,0.6,50.0,1,1,0.0,0,327,2,0,0,,0,0,0,0.0,,0,,0,137,0,0
Devon Witherspoon,101388,CB,SEA,9,0,0,29,64.7,1,2,23,6.6,17.4,4,5,6.5,0,346,23,3,0,68.0,1,1,6,4.2,33.3,2,16.7,0,144,6,2
Dane Belton,101398,S,NYG,8,0,0,21,51.8,0,1,6,6.0,0.0,0,0,8.3,0,100,6,1,0,51.6,0,0,4,7.5,0.0,0,0.0,0,53,4,0
Adisa Isaac,101406,ED,BLT,1,0,0,3,52.5,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,54.4,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Mazi Smith,101419,DI,DAL,9,0,0,9,52.6,0,3,113,100.0,1.8,2,1,1.3,0,120,120,3,0,49.3,0,0,34,100.0,0.0,0,0.0,0,35,35,0
David Ojabo,101420,ED,BLT,8,0,0,3,57.9,3,2,121,91.5,8.3,10,0,2.9,1,141,129,6,0,60.4,2,2,63,90.8,12.7,8,4.8,1,76,69,5
Mike Morris,101421,DI,SEA,6,0,0,29,48.9,0,1,30,100.0,0.0,0,0,1.7,0,32,32,1,0,53.1,0,1,6,100.0,0.0,0,8.3,0,7,7,1
Sam Okuayinonu,101425,ED,SF,8,1,0,28,66.8,3,10,112,98.3,9.8,11,2,8.5,3,121,119,16,0,64.7,2,8,55,100.0,10.9,6,12.7,2,58,58,12
Leo Chenal,101463,LB,KC,9,2,0,16,54.9,0,7,73,54.5,4.1,3,0,6.2,1,143,78,8,1,58.1,0,5,35,71.7,5.7,2,10.0,1,53,38,6
Tommy Eichenberg,101488,LB,LV,4,0,1,23,53.8,0,0,4,10.5,0.0,0,1,0.0,0,38,4,0,0,55.2,0,0,2,15.4,0.0,0,0.0,0,13,2,0
Jack Campbell,101515,LB,DET,9,0,0,11,55.8,0,3,49,16.1,10.2,5,1,5.1,1,323,52,4,0,48.2,0,1,31,24.4,6.5,2,1.6,0,131,32,1
Keeanu Benton,101536,DI,PIT,9,5,0,25,83.7,6,4,181,100.0,11.6,21,1,3.3,1,192,192,11,1,77.1,3,2,77,100.0,13.0,10,3.2,0,80,80,5
Luke McCaffrey,101634,WR,WAS,1,0,0,32,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Jaquan Brisker,101665,S,CHI,5,0,0,6,70.3,0,0,3,1.8,0.0,0,1,33.3,1,171,3,1,0,,0,0,0,0.0,,0,,0,80,0,0
Jared Verse,101912,ED,LA,9,1,1,26,82.5,10,28,218,91.1,21.1,46,3,11.5,6,259,236,44,1,88.6,6,19,116,98.5,25.9,30,13.4,3,133,131,28
Isaiah Land,102108,ED,IND,8,0,0,14,58.3,1,2,45,98.0,6.7,3,1,3.3,0,49,48,3,0,62.0,1,2,24,96.3,8.3,2,6.3,0,27,26,3
Kyle Hamilton,102684,S,BLT,10,3,0,3,90.0,3,5,36,9.0,8.3,3,2,16.7,2,443,40,10,0,87.0,1,1,16,8.8,18.8,3,18.8,2,226,20,4
Isaiah Foskey,102728,ED,NO,3,0,0,20,50.5,0,0,18,100.0,0.0,0,0,0.0,0,18,18,0,0,52.7,0,0,5,100.0,0.0,0,0.0,0,5,5,0
JD Bertrand,102787,LB,ATL,4,0,0,2,51.0,0,1,5,9.8,0.0,0,1,10.0,0,51,5,1,0,55.0,0,0,2,9.5,0.0,0,0.0,0,21,2,0
Marist Liufau,102789,LB,DAL,9,0,0,9,56.7,0,3,17,25.7,11.8,2,1,8.8,0,70,18,3,0,66.8,0,2,8,32.0,25.0,2,12.5,0,25,8,2
Jarius Monroe,103580,S,NYJ,2,0,0,22,58.3,0,1,1,8.3,0.0,0,0,50.0,0,12,1,1,0,58.3,0,1,1,14.3,0.0,0,50.0,0,7,1,1
Kei'Trel Clark,104163,CB,ARZ,3,0,0,1,77.2,0,0,1,3.4,0.0,0,0,100.0,1,29,1,1,0,59.1,0,0,1,5.0,0.0,0,0.0,0,20,1,0
Jalyx Hunt,105989,ED,PHI,2,1,0,24,76.0,0,0,13,72.2,7.7,1,0,7.7,1,18,13,1,1,83.3,0,0,7,100.0,14.3,1,14.3,1,7,7,1
Chris Smith,106524,DI,DET,2,0,0,11,55.4,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,56.9,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Michael Hoecht,108840,ED,LA,9,1,0,26,63.9,1,8,110,63.9,8.2,9,0,7.7,4,183,117,13,0,67.3,0,3,46,65.8,10.9,5,12.0,4,76,50,7
Dee Alford,110542,CB,ATL,10,0,0,2,54.0,0,0,17,5.4,0.0,0,0,5.9,1,313,17,1,0,61.2,0,0,8,5.1,0.0,0,12.5,1,156,8,1
Jalen Brooks,111284,WR,DAL,1,0,0,9,60.0,0,0,0,100.0,,0,0,,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
D'Anthony Bell,111578,S,CLV,3,0,0,8,60.0,1,2,7,17.9,0.0,0,0,21.4,0,39,7,3,0,59.1,0,0,1,6.7,0.0,0,0.0,0,15,1,0
Jamie Sheriff,121433,ED,SEA,1,0,0,29,62.6,0,0,8,100.0,12.5,1,0,0.0,0,8,8,0,0,55.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Tyrice Knight,122025,LB,SEA,4,0,0,29,66.4,0,2,4,7.0,25.0,1,0,25.0,0,57,4,2,0,67.4,0,1,3,12.5,33.3,1,16.7,0,24,3,1
Bryan Bresee,122142,DI,NO,10,1,0,20,53.7,4,10,267,99.3,4.9,13,1,4.1,4,296,294,18,1,58.0,3,9,137,100.0,7.3,10,6.6,3,149,149,15
Myles Murphy,122154,ED,CIN,6,0,0,7,52.6,1,11,88,89.3,8.0,7,0,6.8,0,103,92,12,0,61.2,1,5,39,97.6,15.4,6,7.7,0,42,41,6
Trenton Simpson,122157,LB,BLT,10,1,0,3,63.4,3,2,38,12.0,5.3,2,1,11.8,2,334,40,7,1,71.2,3,0,17,12.3,5.9,1,20.6,2,155,19,5
Felix Anudike-Uzomah,122582,ED,KC,9,0,1,16,61.0,4,2,107,92.0,9.3,10,1,4.7,2,125,115,8,0,59.6,4,1,48,89.7,10.4,5,9.4,2,58,52,7
Yaya Diaby,122705,ED,TB,10,0,0,30,79.3,6,30,247,85.7,20.6,51,2,8.1,2,300,257,38,0,90.0,5,21,116,84.7,32.8,38,12.9,2,144,122,28
Evan Anderson,123590,DI,SF,4,0,0,28,84.0,0,3,26,100.0,11.5,3,1,9.6,1,29,29,4,0,91.9,0,2,10,100.0,20.0,2,20.0,1,10,10,3
Will Anderson Jr.,123903,ED,HST,9,1,0,13,67.4,4,25,226,98.7,15.9,36,1,10.0,8,239,236,37,0,69.2,3,15,112,100.0,22.3,25,13.4,6,120,120,24
Brian Branch,123907,S,DET,8,0,0,11,89.9,3,1,9,3.7,22.2,2,4,22.2,0,298,11,4,0,54.0,0,0,3,2.1,0.0,0,0.0,0,142,3,0
Chris Braswell,123908,ED,TB,10,0,0,30,58.7,5,4,116,85.1,10.3,12,0,5.6,2,148,126,11,0,58.9,3,3,63,89.3,12.7,8,6.3,1,75,67,7
Jalen Carter,124019,DI,PHI,9,4,1,24,87.7,7,21,263,99.3,14.1,37,3,6.8,4,283,281,32,2,82.2,2,12,108,100.0,19.4,21,9.3,3,118,118,17
Kelee Ringo,124035,CB,PHI,7,0,0,24,58.5,0,0,1,3.1,0.0,0,0,0.0,0,32,1,0,0,,0,0,0,0.0,,0,,0,20,0,0
Andru Phillips,124075,CB,NYG,9,0,0,21,85.2,0,3,8,4.1,25.0,2,1,31.3,1,196,8,4,0,90.4,0,2,2,2.1,50.0,1,50.0,0,95,2,2
Ali Gaye,124095,ED,TEN,6,0,0,31,58.9,0,1,21,95.5,9.5,2,0,2.4,0,22,21,1,0,54.9,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Jaquelin Roy,124111,DI,NE,5,0,0,19,61.4,0,2,47,100.0,6.4,3,1,6.4,2,50,50,4,0,65.0,0,1,8,100.0,12.5,1,18.8,1,8,8,2
Cedric Johnson,124136,ED,CIN,3,0,0,7,47.0,0,0,28,93.8,0.0,0,0,0.0,0,32,30,0,0,48.6,0,0,17,100.0,0.0,0,0.0,0,19,19,0
Tavius Robinson,124147,ED,BLT,10,0,0,3,59.7,6,3,122,94.1,5.7,7,0,7.0,4,136,128,13,0,55.5,3,3,49,93.0,6.1,3,12.2,3,57,53,9
